model,seed,epoch,train_loss,dev_loss,dev_eer,is_best
cnn2d,0,1,0.39247541709457123,0.15347099976241588,0.025990735975295935,True
cnn2d,0,2,0.18292640894491757,0.13367325163912028,0.0235138960370561,True
cnn2d,0,3,0.14017172234186104,0.06598767346143722,0.017016212043232115,True
cnn2d,0,4,0.11494430430366524,0.055544441922567786,0.012995367987647968,True
cnn2d,0,5,0.08168594814730543,0.12009824322070926,0.014000579001544004,False
cnn2d,0,6,0.08823912871682218,0.03615493999514729,0.01199015697375193,True
cnn2d,0,7,0.07033333467625613,0.11756962725706399,0.010518528049408133,True
cnn2d,0,8,0.08160471349691839,0.07153604555351194,0.007502895007720021,True
cnn2d,0,9,0.06352475452662579,0.48050445640087125,0.010984945959855892,False
cnn2d,0,10,0.07746691375588333,0.34126762914145364,0.008508106021616058,False
cnn2d,0,11,0.05662732885902681,0.06315938333654776,0.005492472979927946,True
cnn2d,0,12,0.03640595265830468,0.12350376324774698,0.005492472979927946,False
cnn2d,0,13,0.06862723884415546,0.029310497391736134,0.005492472979927946,False
cnn2d,0,14,0.05589371163258329,0.7574471974372864,0.006497683993823984,False
cnn2d_robust,0,1,0.2849035003163985,0.09113517352938652,0.03550405301080803,True
cnn2d_robust,0,2,0.14426388692855835,0.07665359738469124,0.02699594698919197,True
cnn2d_robust,0,3,0.12505254629254342,0.11330878800153732,0.025990735975295935,True
cnn2d_robust,0,4,0.12037039746982711,0.11415896148979664,0.020498262995367986,True
cnn2d_robust,0,5,0.11766914652926581,0.0657223600745201,0.02250868502316006,False
cnn2d_robust,0,6,0.11018734761646816,0.058337130799889565,0.01949305198147195,True
cnn2d_robust,0,7,0.09154423371383122,0.06370244359225034,0.01601100102933608,True
cnn2d_robust,0,8,0.08850577631167003,0.046581217408180234,0.015005790015440041,True
cnn2d_robust,0,9,0.08455249379788127,0.07653797148168087,0.017016212043232115,False
cnn2d_robust,0,10,0.07388834204524755,0.03983451250940561,0.014000579001544004,True
cnn2d_robust,0,11,0.06690627472368735,0.03525164596177638,0.015005790015440041,False
cnn2d_robust,0,12,0.061331231764251634,0.03768473225645721,0.014000579001544004,False
cnn2d_robust,0,13,0.06142670233388032,0.03637634616345167,0.014000579001544004,False
cnn2d+specaug,0,1,0.41380498002256666,1.3082206244468688,0.03349363098301596,True
cnn2d+specaug,0,2,0.1710733685368406,0.4639392590522766,0.02250868502316006,True
cnn2d+specaug,0,3,0.14117566116500113,2.4812126398086547,0.024519107050952137,False
cnn2d+specaug,0,4,0.13786161175104125,4.654594247817993,0.018487840967575914,True
cnn2d+specaug,0,5,0.09385582493671349,1.265719569683075,0.01601100102933608,True
cnn2d+specaug,0,6,0.11160686750643488,6.437845024108887,0.02699594698919197,False
cnn2d+specaug,0,7,0.12543390164291487,0.08617777868360281,0.010984945959855892,True
cnn2d+specaug,0,8,0.07765342325663992,0.0249680704921484,0.010984945959855892,False
cnn2d+specaug,0,9,0.08670676162200315,0.04186871748883277,0.010984945959855892,False
cnn2d+specaug,0,10,0.09363958325225394,0.7563040063381196,0.009513317035512094,True
cnn2d+specaug,0,11,0.06305758445976035,0.04951366771943867,0.005492472979927946,True
cnn2d+specaug,0,12,0.06301047603533204,0.02194501239003148,0.007502895007720021,False
cnn2d+specaug,0,13,0.08155798509104975,0.5907758485078811,0.01199015697375193,False
cnn2d+specaug,0,14,0.06480313548365874,2.1683848333358764,0.007502895007720021,False
